"num_step"	"brunneaA"	"brunneaB"	"deplanataA"	"deplanataB"	"kauaiensisA"	"kauaiensisB"	"mauiensisA"	"mauiensisB"	"molokaiensisA"	"molokaiensisB"	"nihoaA"	"nihoaB"	"nitidaA"	"nitidaC"	"nitidaB"	"parvulaA"	"parvulaB"	"pilimauiensisA"	"pilimauiensisB"	"unicaA"	"unicaB"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"
290	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
300	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	4	4	4	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
310	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	5	4	5	3	3	3	5	4	2	4	4	4	1	4	4
320	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	4	4	5	4	5	3	3	3	5	4	2	4	4	4	1	4	4
330	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
340	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
350	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	3	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
360	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
370	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
380	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
390	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	4	4	4	4	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
400	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	4	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
410	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	5	4	5	3	3	3	5	4	2	4	4	4	1	4	4
420	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
430	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
440	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
450	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
