100	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	5	5	1	5	1	1	1	4	5	5	5	4	1	2	1	1	1	1	3	1
200	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	5	5	5	5	1	1	1	4	5	5	5	4	1	2	1	1	1	1	1	3
300	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	5	5	5	5	1	1	1	4	5	5	5	4	1	2	1	1	1	1	1	3
400	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	5	5	5	5	1	1	1	4	5	5	5	4	1	2	1	1	1	1	1	3
500	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	5	5	5	5	1	1	1	4	5	5	5	4	1	2	1	1	1	1	1	3
600	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	5	5	5	5	4	1	4	1	5	5	4	5	2	1	1	1	1	1	1	3
700	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	2	2	2	2	1	1	1	4	5	2	5	4	1	2	1	1	1	1	1	3
800	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	5	5	5	5	1	4	4	1	5	5	5	4	2	1	1	1	1	3	1	1
900	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	3	2	2	5	1	4	1	4	2	5	5	4	1	2	1	1	1	1	1	3
1000	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	3	2	5	2	2	1	1	4	2	5	5	4	1	1	1	2	1	1	3	1
1100	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	3	2	2	2	1	1	1	4	2	5	5	1	4	2	1	1	3	1	1	1
1200	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	3	2	2	2	1	1	4	1	2	5	5	1	4	1	2	1	1	1	3	1
1300	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	3	2	5	2	1	1	4	1	5	2	5	4	2	1	1	1	1	1	3	1
1400	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	2	2	5	2	1	1	1	4	2	5	5	1	4	2	1	1	1	1	3	1
1500	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	2	2	5	2	1	1	1	4	2	5	5	1	4	2	1	1	1	1	3	1
1600	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	2	2	5	2	1	1	1	4	2	5	5	1	4	2	1	1	1	1	3	1
1700	1	1	1	1	2	2	1	1	1	1	3	3	4	4	4	5	5	1	1	5	5	2	2	5	2	1	1	1	4	2	5	5	1	4	2	1	1	1	1	3	1
