"Sample"	"Sigma 1"	"Sigma 2"	"Lambda"	"Tau"	"LogLikelihood"
0	0	0	0	0	0
10	6.89392306872843	24.8851877413913	851.632413741799	0.00624102346205588	-179.43286966537
20	6.89392306872843	24.8851877413913	0.16526746205384	0.358996534506707	-86.1503233432973
30	6.89392306872843	24.8851877413913	0.16526746205384	0.566130693103104	-80.065984932028
40	6.89392306872843	24.8851877413913	0.16526746205384	0.566130693103104	-79.9675641106644
50	6.89392306872843	24.8851877413913	0.16526746205384	0.566130693103104	-78.7372097142337
60	6.89392306872843	24.8851877413913	0.16526746205384	0.566130693103104	-80.2184335354936
70	6.89392306872843	24.8851877413913	0.16526746205384	0.566130693103104	-78.3739061434098
80	6.89392306872843	24.8851877413913	0.16526746205384	0.566130693103104	-79.463066577065
90	6.89392306872843	24.8851877413913	1.32559054997815	0.566130693103104	-65.3284421792349
100	6.89392306872843	24.8851877413913	1.32559054997815	0.566130693103104	-64.9495655162368
110	6.89392306872843	24.8851877413913	1.32559054997815	0.566130693103104	-64.6773299014923
120	6.89392306872843	8.97039894261047	1.32559054997815	0.566130693103104	-62.3011955610347
130	6.89392306872843	8.97039894261047	1.32559054997815	0.566130693103104	-61.8469591854389
140	6.89392306872843	8.97039894261047	1.55403387100007	0.566130693103104	-62.7379066170873
150	6.89392306872843	8.97039894261047	1.55403387100007	0.566130693103104	-64.386502205071
160	2.22480003700116	8.97039894261047	1.55403387100007	0.566130693103104	-59.9845511482243
170	2.22480003700116	37.5738400606769	1.55403387100007	0.439006602821444	-63.5957561787132
180	2.22480003700116	37.5738400606769	1.55403387100007	0.439006602821444	-61.9907566988399
190	2.22480003700116	37.5738400606769	2.04267599492053	0.439006602821444	-64.1594000843046
200	2.22480003700116	32.4715737251938	2.04267599492053	0.439006602821444	-62.2186473577729
210	2.22480003700116	33.2728961566866	1.45354420832379	0.439006602821444	-62.6160973607257
220	2.22480003700116	33.2728961566866	1.45354420832379	0.439006602821444	-61.9179961107333
230	0.707497460146235	33.2728961566866	1.45354420832379	0.439006602821444	-59.4728577707742
240	0.707497460146235	33.2728961566866	1.45354420832379	0.475015756865417	-58.7231217187702
250	0.707497460146235	33.2728961566866	1.45354420832379	0.475015756865417	-59.6696360772621
260	0.192612371670817	33.2728961566866	1.45354420832379	0.865951965465858	-58.8532094132154
270	0.234995882564928	33.2728961566866	1.45354420832379	0.865951965465858	-57.5945531779317
280	1.03581805085392	6.85033476849167	1.45354420832379	0.865951965465858	-59.4544764672081
290	1.03581805085392	6.85033476849167	1.45354420832379	0.865951965465858	-59.3929096475503
300	0.459730066651656	6.85033476849167	1.45354420832379	0.865951965465858	-59.8496043229235
310	0.459730066651656	6.85033476849167	1.45354420832379	0.865951965465858	-57.7645532652756
320	0.459730066651656	6.85033476849167	1.45354420832379	0.949947314207617	-57.8720383594651
330	0.459730066651656	6.85033476849167	0.775861016652047	1.17293280509913	-55.425621423555
340	0.241413583841282	17.7571801127719	0.829965894771234	1.92649725412694	-55.9506580068073
350	0.241413583841282	17.7571801127719	0.829965894771234	1.28157971975139	-56.201995174515
360	0.241413583841282	11.960267740531	0.829965894771234	1.28157971975139	-57.1405121170331
370	0.529200512220833	11.960267740531	0.829965894771234	1.28157971975139	-56.2878701578207
380	1.36760206689245	5.80836178657248	0.829965894771234	1.28157971975139	-57.9669802524133
390	1.36760206689245	5.80836178657248	0.829965894771234	1.14366160993333	-59.4759028600636
400	2.67295691980945	5.80836178657248	0.829965894771234	1.14366160993333	-60.7222451083587
410	2.67295691980945	5.80836178657248	1.23300399175518	0.62409571045911	-59.8441695791824
420	2.67295691980945	41.0518482892654	1.23300399175518	0.382394392667838	-63.8195783374815
430	2.67295691980945	4.09028093388149	1.80127461463876	0.382394392667838	-59.6126693329701
440	2.67295691980945	3.38475755273192	1.82981097586193	0.594075879057185	-58.3849891590109
450	2.67295691980945	3.38475755273192	1.82981097586193	0.504848358981234	-58.3988949299105
460	2.67295691980945	3.38475755273192	1.82981097586193	0.619781309636815	-58.4669861797562
470	2.67295691980945	6.40085212518418	1.12369028511077	0.603230383283786	-60.0682504588406
480	11.3514910975181	6.40085212518418	1.12369028511077	0.603230383283786	-62.5096805586896
490	11.3514910975181	3.1643593336144	1.12369028511077	0.945898823494084	-59.3664411231066
500	11.3514910975181	1.90488954520487	1.0975119663808	1.25207945958342	-60.0134734289432
510	11.3514910975181	1.21393311890641	1.0975119663808	1.30361150999032	-58.9787198914465
520	11.3514910975181	1.21393311890641	0.713156410532848	1.85390319103805	-57.2016777512939
530	3.18904213175868	2.71925143007579	0.713156410532848	1.58162159040306	-57.45166761127
540	2.88299664371558	3.57033514765162	0.713156410532848	1.49237761640261	-60.3434099856299
550	2.55426952527574	3.57033514765162	0.713156410532848	1.3326548156516	-58.8228487306299
560	2.55426952527574	3.57033514765162	0.766942185143483	1.08856017016101	-57.7591000459755
570	2.55426952527574	1.50671785955196	0.766942185143483	1.0971232528109	-58.1009498097187
580	1.19489910035483	3.81826455195071	0.766942185143483	1.49018461284503	-56.9223904359763
590	1.19489910035483	3.81826455195071	0.635829010757899	1.72880766538745	-56.514038535551
600	0.348646353092822	3.81826455195071	0.34811169989693	3.36529134199539	-54.9377580883669
610	0.348646353092822	5.27040331089838	0.34811169989693	4.03727866308672	-54.733134121589
620	0.348646353092822	5.27040331089838	0.34811169989693	4.39180362556659	-54.9899712524502
630	0.312415484765614	25.9142683465342	0.34811169989693	3.89426576429057	-54.704642856143
640	0.312415484765614	25.9142683465342	0.34811169989693	1.70218821437822	-58.3545616900277
650	0.312415484765614	4.73579497604204	0.34811169989693	4.19676347723415	-54.988079323669
660	0.371827534880586	40.5787305120634	0.34811169989693	3.35347617721439	-54.612540979913
670	0.288929135461709	41.5865509523638	0.34811169989693	4.96914162873927	-55.1524379750147
680	0.288929135461709	18.0612740512066	0.34811169989693	3.8265887260436	-53.9854083163334
690	0.288929135461709	18.0612740512066	0.34811169989693	4.08592446282582	-54.1093162151197
700	0.312823701552906	18.0612740512066	0.34811169989693	5.01925955366891	-55.2580487565727
710	0.312823701552906	18.0612740512066	0.211841625103901	5.40025682172371	-54.0813935783485
720	0.312823701552906	3.04036532107096	0.135337290927319	6.83387722696201	-55.1921229454432
730	0.396833308629147	14.7487672638788	0.135337290927319	7.61179187991299	-54.6193641951223
740	0.396833308629147	16.6310681843239	0.115141068382943	8.51022528558279	-54.9396116878946
750	0.396833308629147	32.5425105113939	0.115141068382943	7.40879584845825	-54.0453484784914
760	0.396833308629147	18.5760346454002	0.131264868460469	6.16346628523548	-54.8470796015818
770	0.337900860264645	23.6467143496009	0.131264868460469	8.29095187516836	-54.4230272763962
780	0.365477336841011	37.0908976332692	0.131264868460469	5.97018011406436	-54.9010597818203
790	0.406842100675355	37.0908976332692	0.131264868460469	6.11730431468367	-55.0160934358912
800	0.328028685978539	12.0641619661168	0.131264868460469	10.221193760932	-54.8503347476287
810	0.328028685978539	17.4246894670167	0.131264868460469	6.0187606289464	-54.8521542044047
820	0.328028685978539	46.8838501809481	0.131264868460469	6.50986453740855	-54.5797282158853
830	0.328028685978539	11.7884282599242	0.144981587048583	8.68934281479028	-54.3857039132972
840	0.328028685978539	39.9872013527588	0.144981587048583	9.01874297315427	-54.8823933497364
850	0.2456818498128	31.6302743052856	0.144981587048583	9.01874297315427	-53.3398617094501
860	1.88097602810254	2.70192995378957	0.144981587048583	5.80385983794561	-55.6704963489535
870	2.40914872121303	2.70192995378957	0.369953076694031	4.56757816950746	-60.251002577292
880	3.70082664163898	3.4700647339512	0.227791417137921	4.0632752041997	-57.9443093722898
890	0.516046801068599	18.1307946569665	0.227791417137921	5.04446901444002	-55.3964876220777
900	0.517755225816907	21.4773661425436	0.275085347915368	2.73118817676066	-55.4747393802978
910	0.391297692218296	23.4496787550436	0.451313796752575	1.9755936853065	-55.4353226103474
